name,opcode,plan_executor,legacy_evaluator,integrated_executor
!,OPS_BINARY,1,0,1
!=,OPS_BINARY,1,0,1
$,SUBSET,1,0,1
$<-,REPLACE,1,0,1
%%,OPS_BINARY,1,0,1
%*%,MATRIX,1,0,1
%/%,OPS_BINARY,1,0,1
&,OPS_BINARY,1,0,1
&&,SHORT_CIRCUIT,0,1,1
(,LANGUAGE,0,1,1
*,OPS_BINARY,1,0,1
+,OPS_BINARY,1,0,1
-,OPS_BINARY,1,0,1
...elt,ENVIRONMENT,0,0,0
...length,ENVIRONMENT,0,0,0
...names,ATTRIBUTE,0,0,0
.C,RUNTIME,0,0,0
.Call,RUNTIME,0,0,0
.Call.graphics,RUNTIME,0,0,0
.External,RUNTIME,0,0,0
.External.graphics,RUNTIME,0,0,0
.External2,RUNTIME,0,0,0
.Fortran,RUNTIME,0,0,0
.Internal,LANGUAGE,1,0,1
.Primitive,RUNTIME,0,0,0
.addCondHands,RUNTIME,0,0,0
.addGlobHands,RUNTIME,0,0,0
.addRestart,RUNTIME,0,0,0
.addTryHandlers,RUNTIME,0,0,0
.cache_class,ATTRIBUTE,0,0,0
.class2,ATTRIBUTE,0,0,0
.dfltStop,RUNTIME,0,0,0
.dfltWarn,RUNTIME,0,0,0
.getRestart,ENVIRONMENT,0,0,0
.invokeRestart,RUNTIME,0,0,0
.isMethodsDispatchOn,RUNTIME,0,0,0
.primTrace,RUNTIME,0,0,0
.primUntrace,RUNTIME,0,0,0
.resetCondHands,RUNTIME,0,0,0
.signalCondition,RUNTIME,0,0,0
.subset,SUBSET,1,0,1
.subset2,SUBSET,1,0,1
/,OPS_BINARY,1,0,1
:,RUNTIME,0,1,1
::,LANGUAGE,1,0,1
:::,LANGUAGE,1,0,1
<,OPS_BINARY,1,0,1
<-,REPLACE,0,1,1
<<-,REPLACE,0,1,1
<=,OPS_BINARY,1,0,1
=,LANGUAGE,0,1,1
==,OPS_BINARY,1,0,1
>,OPS_BINARY,1,0,1
>=,OPS_BINARY,1,0,1
@,LANGUAGE,0,0,0
@<-,REPLACE,1,0,1
