batch,c_entry,go_file,status,benötigte_helper
batch_001.c,do_AT,do_AT.go,translated,runtime.go
batch_002.c,do_CDotsElt,do_CDotsElt.go,translated,
batch_003.c,do_CDotsLength,do_CDotsLength.go,translated,
batch_004.c,do_CDotsNames,do_CDotsNames.go,translated,
batch_005.c,do_External,do_External.go,constraint_error_path,unsupported
batch_006.c,do_Externalgr,do_Externalgr.go,constraint_error_path,unsupported
batch_007.c,do_ICUget,do_ICUget.go,translated,runtime.go
batch_008.c,do_ICUset,do_ICUset.go,translated,runtime.go
batch_009.c,do_S4on,do_S4on.go,translated,runtime.go
batch_010.c,do_abbrev,do_abbrev.go,translated,abbreviateImpl
batch_011.c,do_activeBndFun,do_activeBndFun.go,partial_evaluator,envPrimitive
batch_012.c,do_addCondHands,do_addCondHands.go,missing_helper,EvaluatorContext
batch_013.c,do_addGlobHands,do_addGlobHands.go,missing_helper,EvaluatorContext
batch_014.c,do_addRestart,do_addRestart.go,missing_helper,EvaluatorContext
batch_015.c,do_addTryHandlers,do_addTryHandlers.go,missing_helper,EvaluatorContext
batch_016.c,do_address,do_address.go,translated,addressImpl
batch_017.c,do_adist,do_adist.go,translated,runtime.go
batch_018.c,do_agrep,do_agrep.go,translated,runtime.go
batch_019.c,do_allnames,do_allnames.go,translated,runtime.go
batch_020.c,do_altrep_class,do_altrep_class.go,translated,runtime.go
batch_021.c,do_aregexec,do_aregexec.go,translated,runtime.go
batch_022.c,do_args,do_args.go,translated,
batch_023.c,do_as_environment,do_as_environment.go,partial_evaluator,envPrimitive
batch_024.c,do_ascall,do_ascall.go,translated,
batch_025.c,do_asfunction,do_asfunction.go,missing_helper,see missing_helpers.md
batch_026.c,do_attach,do_attach.go,partial_evaluator,envPrimitive
batch_027.c,do_bcclose,do_bcclose.go,missing_helper,EvaluatorContext
batch_028.c,do_bcprofcounts,do_bcprofcounts.go,missing_helper,EvaluatorContext
batch_029.c,do_bcprofstart,do_bcprofstart.go,missing_helper,EvaluatorContext
batch_030.c,do_bcprofstop,do_bcprofstop.go,missing_helper,EvaluatorContext
batch_031.c,do_bcversion,do_bcversion.go,translated,runtime.go
batch_032.c,do_bincode,do_bincode.go,translated,bincodeImpl
batch_033.c,do_bindingType,do_bindingType.go,partial_evaluator,envPrimitive
batch_034.c,do_bindtextdomain,do_bindtextdomain.go,translated,runtime.go
batch_035.c,do_bndIsActive,do_bndIsActive.go,partial_evaluator,envPrimitive
batch_036.c,do_bndIsLocked,do_bndIsLocked.go,partial_evaluator,envPrimitive
batch_037.c,do_body,do_body.go,translated,
batch_038.c,do_bodyCode,do_bodyCode.go,missing_helper,see missing_helpers.md
batch_039.c,do_builtins,do_builtins.go,partial_evaluator,envPrimitive
batch_040.c,do_call,do_call.go,translated,
batch_041.c,do_chartr,do_chartr.go,translated,chartrImpl
batch_042.c,do_clearpushback,do_clearpushback.go,translated_family,connectionPrimitive
batch_043.c,do_close,do_close.go,translated_family,connectionPrimitive
batch_044.c,do_commandArgs,do_commandArgs.go,translated_family,systemPrimitive
batch_045.c,do_compareNumericVersion,do_compareNumericVersion.go,translated,compareNumericVersionImpl
batch_046.c,do_compilepkgs,do_compilepkgs.go,translated,runtime.go
batch_047.c,do_complex,do_complex.go,translated,complexImpl;lengthGetsImpl
batch_048.c,do_copyDFattr,do_copyDFattr.go,translated,
batch_049.c,do_crc64,do_crc64.go,translated,crc64Impl
batch_050.c,do_curlDownload,do_curlDownload.go,missing_helper,see missing_helpers.md
batch_051.c,do_curlGetHeaders,do_curlGetHeaders.go,missing_helper,see missing_helpers.md
batch_052.c,do_curlVersion,do_curlVersion.go,missing_helper,see missing_helpers.md
batch_053.c,do_debug,do_debug.go,missing_helper,EvaluatorContext
batch_054.c,do_declare,do_declare.go,missing_helper,EvaluatorContext
batch_055.c,do_delayed,do_delayed.go,missing_helper,see missing_helpers.md
batch_056.c,do_delayedBindingEnv,do_delayedBindingEnv.go,partial_evaluator,envPrimitive
batch_057.c,do_delayedBindingExpr,do_delayedBindingExpr.go,partial_evaluator,envPrimitive
batch_058.c,do_detach,do_detach.go,partial_evaluator,envPrimitive
batch_059.c,do_dfltStop,do_dfltStop.go,translated,runtime.go
batch_060.c,do_dfltWarn,do_dfltWarn.go,translated,runtime.go
batch_061.c,do_disassemble,do_disassemble.go,missing_helper,EvaluatorContext
batch_062.c,do_docall,do_docall.go,missing_helper,see missing_helpers.md
batch_063.c,do_dotCode,do_dotCode.go,constraint_error_path,unsupported
batch_064.c,do_dotDelayedEnv,do_dotDelayedEnv.go,partial_evaluator,envPrimitive
batch_065.c,do_dotDelayedExpr,do_dotDelayedExpr.go,partial_evaluator,envPrimitive
batch_066.c,do_dotForcedExpr,do_dotForcedExpr.go,partial_evaluator,envPrimitive
batch_067.c,do_dotType,do_dotType.go,partial_evaluator,envPrimitive
batch_068.c,do_dotcall,do_dotcall.go,constraint_error_path,unsupported
batch_069.c,do_dotcallgr,do_dotcallgr.go,constraint_error_path,unsupported
batch_070.c,do_dotsElt,do_dotsElt.go,translated,
batch_071.c,do_dotsExist,do_dotsExist.go,translated,
batch_072.c,do_dotsLength,do_dotsLength.go,translated,
batch_073.c,do_dotsNames,do_dotsNames.go,translated,
batch_074.c,do_dput,do_dput.go,translated,runtime.go
batch_075.c,do_dump,do_dump.go,missing_helper,see missing_helpers.md
batch_076.c,do_dynload,do_dynload.go,constraint_error_path,unsupported
batch_077.c,do_dynunload,do_dynunload.go,constraint_error_path,unsupported
batch_078.c,do_eapply,do_eapply.go,partial_evaluator,envPrimitive
batch_079.c,do_enablejit,do_enablejit.go,translated,runtime.go
batch_080.c,do_encodeString,do_encodeString.go,translated,encodeStringImpl
batch_081.c,do_env2list,do_env2list.go,partial_evaluator,envPrimitive
batch_082.c,do_envIsLocked,do_envIsLocked.go,partial_evaluator,envPrimitive
batch_083.c,do_envirName,do_envirName.go,missing_helper,see missing_helpers.md
batch_084.c,do_envirgets,do_envirgets.go,missing_helper,see missing_helpers.md
batch_085.c,do_envprofile,do_envprofile.go,partial_evaluator,envPrimitive
batch_086.c,do_expression,do_expression.go,translated,
batch_087.c,do_fifo,do_fifo.go,partial_constraint,connectionPrimitive
batch_088.c,do_fileaccess,do_fileaccess.go,translated_family,filePrimitive
batch_089.c,do_fileappend,do_fileappend.go,translated_family,filePrimitive
batch_090.c,do_filechoose,do_filechoose.go,translated_family,filePrimitive
batch_091.c,do_filecopy,do_filecopy.go,translated_family,filePrimitive
batch_092.c,do_filecreate,do_filecreate.go,translated_family,filePrimitive
batch_093.c,do_fileinfo,do_fileinfo.go,translated_family,filePrimitive
